count 664
aiStylist.noted	Noted
aiStylist.skip	Skip
aiStylist.tooWestern	Too Western
aiStylist.upgradeNow	Upgrade Now
auth.createAccount	Create Account
auth.email	Email
auth.fullName	Full Name
auth.password	Password
auth.privacyPolicy	Privacy Policy
auth.signIn	Sign In
auth.signUp	Sign Up
auth.welcomeBack	Welcome Back
bargains.error	Error
bargains.shared	Shared
blog.retry	Retry
blog.subscribe	Subscribe
blog.subscribed	Subscribed
blog.unsubscribe	Unsubscribe
bodyScan.captureFailed	Capture Failed
bodyScan.error	Error
bodyScan.manuallyEntered	Manually Entered
bodyScan.rescanBody	Rescan Body
bodyScan.retakePhoto	Retake Photo
bodyScan.saved	Saved
bodyScan.scanComplete	Scan Complete
bodyScan.scanIssue	Scan Issue
bodyScan.styleRecommendations	Style Recommendations
bodyScan.yourMeasurements	Your Measurements
bodyShapes.apple	Apple
bodyShapes.athletic	Athletic
bodyShapes.hourglass	Hourglass
bodyShapes.pear	Pear
bodyShapes.petite	Petite
bodyShapes.rectangle	Rectangle
bodyShapes.tall	Tall
cancelFlow.confirmCancel	Confirm Cancel
cancelFlow.continue	Continue
cancelFlow.keepSubscription	Keep Subscription
coldOpen.casual	Casual
coldOpen.continue	Continue
coldOpen.event	Event
coldOpen.holiday	Holiday
coldOpen.justBrowsing	Just Browsing
coldOpen.skip	Skip
coldOpen.work	Work
colorAnalysis.analysisComplete	Analysis Complete
colorAnalysis.analysisCompleteTitle	Analysis Complete Title
colorAnalysis.analysisIssue	Analysis Issue
colorAnalysis.analysisIssueTitle	Analysis Issue Title
colorAnalysis.analyzeFailed	Analyze Failed
colorAnalysis.cameraNotReady	Camera Not Ready
colorAnalysis.captureFailed	Capture Failed
colorAnalysis.captureFailedUpload	Capture Failed Upload
colorAnalysis.selectImageFailed	Select Image Failed
colorAnalysis.viewResults	View Results
colorSeasons.autumn	Autumn
colorSeasons.spring	Spring
colorSeasons.summer	Summer
colorSeasons.winter	Winter
common.accessories	Accessories
common.addAll	Add All
common.addAnyway	Add Anyway
common.adminPortal	Admin Portal
common.alreadyVoted	Already Voted
common.analysisFailed	Analysis Failed
common.back	Back
common.block	Block
common.bodyScanRequired	Body Scan Required
common.cancel	Cancel
common.captionRequired	Caption Required
common.captureFailed	Capture Failed
common.changePhoto	Change Photo
common.clearAllNotifications	Clear All Notifications
common.close	Close
common.clothing	Clothing
common.complete	Complete
common.completeSession	Complete Session
common.connectionRequired	Connection Required
common.continue	Continue
common.continueAnyway	Continue Anyway
common.dailyLimitReached	Daily Limit Reached
common.delete	Delete
common.deleteConversation	Delete Conversation
common.disconnect	Disconnect
common.done	Done
common.emailRequired	Email Required
common.enable	Enable
common.enableLocation	Enable Location
common.enterManually	Enter Manually
common.entrySubmitted	Entry Submitted
common.error	Error
common.errorDetails	Error Details
common.findEventsNearYou	Find Events Near You
common.generationFailed	Generation Failed
common.imageRequired	Image Required
common.invalidPrice	Invalid Price
common.locationRequired	Location Required
common.loginFailed	Login Failed
common.logoPreview	Logo Preview
common.mute	Mute
common.next	Next
common.notAvailable	Not Available
common.notNow	Not Now
common.openSettings	Open Settings
common.permissionRequired	Permission Required
common.photoError	Photo Error
common.postAnyway	Post Anyway
common.profilePhoto	Profile Photo
common.recordingError	Recording Error
common.recordingTooShort	Recording Too Short
common.refreshMyLook	Refresh My Look
common.remove	Remove
common.removePhoto	Remove Photo
common.reportFailed	Report Failed
common.reportIssue	Report Issue
common.reportSubmitted	Report Submitted
common.retentionAnalytics	Retention Analytics
common.retry	Retry
common.retryFailed	Retry Failed
common.reviewItems	Review Items
common.save	Save
common.saved	Saved
common.searchFailed	Search Failed
common.setupFailed	Setup Failed
common.share	Share
common.shareFailed	Share Failed
common.sharingFailed	Sharing Failed
common.signInRequired	Sign In Required
common.signOut	Sign Out
common.signUp	Sign Up
common.skip	Skip
common.skipDuplicates	Skip Duplicates
common.stylistPortal	Stylist Portal
common.submissionFailed	Submission Failed
common.subscribed	Subscribed
common.subscriptionFailed	Subscription Failed
common.success	Success
common.tryAgain	Try Again
common.unblock	Unblock
common.unmute	Unmute
common.unsubscribed	Unsubscribed
common.upgrade	Upgrade
common.upgradeRequired	Upgrade Required
common.viewCalendar	View Calendar
common.viewPlans	View Plans
common.viewResults	View Results
common.you	You
community.blockUser	Block User
community.descriptionRequired	Description Required
community.error	Error
community.limitReached	Limit Reached
community.mediaRequired	Media Required
community.option	Option
community.permissionRequired	Permission Required
community.pollClosed	Poll Closed
community.pollLimitReached	Poll Limit Reached
community.reportFailed	Report Failed
community.reportSubmitted	Report Submitted
community.styleAdvice	Style Advice
community.stylistAdviceLimitReached	Stylist Advice Limit Reached
community.submitReport	Submit Report
community.twoOptionsRequired	Two Options Required
community.unblockUser	Unblock User
community.upgradeRequired	Upgrade Required
community.uploadLimitReached	Upload Limit Reached
community.videoTooLong	Video Too Long
community.vote	Vote
community.you	You
countries.unitedArabEmirates	United Arab Emirates
countries.unitedKingdom	United Kingdom
countries.unitedStates	United States
decideForMe.occasion.casual	Casual
decideForMe.occasion.date	Date
decideForMe.occasion.event	Event
decideForMe.occasion.work	Work
decideForMe.style.androgynous	Androgynous
decideForMe.style.feminine	Feminine
decideForMe.style.masculine	Masculine
decideForMe.styleRule	Style Rule
dfy.comparison.applePurchaseFailed	Apple Purchase Failed
dfy.comparison.checkoutCancelledMessage	Checkout Cancelled Message
dfy.comparison.checkoutCancelledTitle	Checkout Cancelled Title
dfy.comparison.checkoutStartFailed	Checkout Start Failed
dfy.comparison.comparisonNoteFull	Comparison Note Full
dfy.comparison.comparisonNoteOccasion	Comparison Note Occasion
dfy.comparison.continueSetup	Continue Setup
dfy.comparison.continueToCheckout	Continue To Checkout
dfy.comparison.emailInvalid	Email Invalid
dfy.comparison.emailPlaceholder	Email Placeholder
dfy.comparison.emailReceiptNote	Email Receipt Note
dfy.comparison.emailRequired	Email Required
dfy.comparison.enterEmail	Enter Email
dfy.comparison.fullSetupLabel	Full Setup Label
dfy.comparison.getPersonalStylist	Get Personal Stylist
dfy.comparison.noDfyPurchaseMessage	No Dfy Purchase Message
dfy.comparison.noDfyPurchaseTitle	No Dfy Purchase Title
dfy.comparison.occasionReadyLabel	Occasion Ready Label
dfy.comparison.paymentErrorTitle	Payment Error Title
dfy.comparison.paymentNotCompletedMessage	Payment Not Completed Message
dfy.comparison.paymentNotCompletedTitle	Payment Not Completed Title
dfy.comparison.paymentSuccessCoreMessage	Payment Success Core Message
dfy.comparison.paymentSuccessLiteMessage	Payment Success Lite Message
dfy.comparison.paymentSuccessTitle	Payment Success Title
dfy.comparison.purchaseCancelledMessage	Purchase Cancelled Message
dfy.comparison.purchaseCancelledTitle	Purchase Cancelled Title
dfy.comparison.purchaseVerifyFailed	Purchase Verify Failed
dfy.comparison.restoredMessage	Restored Message
dfy.comparison.restoredTitle	Restored Title
dfy.comparison.restoreFailedMessage	Restore Failed Message
dfy.comparison.restoreFailedTitle	Restore Failed Title
dfy.comparison.restorePurchases	Restore Purchases
dfy.comparison.selected	Selected
dfy.comparison.selectOption	Select Option
dfy.comparison.signInRequiredApple	Sign In Required Apple
dfy.comparison.signInRequiredRestore	Sign In Required Restore
dfy.comparison.signInRequiredTitle	Sign In Required Title
dfy.comparison.startFullSetup	Start Full Setup
dfy.comparison.startQuickSetup	Start Quick Setup
dfy.comparison.structural	Structural
dfy.comparison.subtitleDefault	Subtitle Default
dfy.comparison.subtitlePaidAddOn	Subtitle Paid Add On
dfy.comparison.tactical	Tactical
dfy.comparison.titleDefault	Title Default
dfy.comparison.titlePaidAddOn	Title Paid Add On
dfy.expiry.accessEndsNote	Access Ends Note
dfy.expiry.buildIt	Build It
dfy.expiry.buildWardrobeDesc	Build Wardrobe Desc
dfy.expiry.buildWardrobeTitle	Build Wardrobe Title
dfy.expiry.daysRemaining	Days Remaining
dfy.expiry.expiredSubtitleCore	Expired Subtitle Core
dfy.expiry.expiredSubtitleLite	Expired Subtitle Lite
dfy.expiry.keepStylistActive	Keep Stylist Active
dfy.expiry.keepStylistDesc	Keep Stylist Desc
dfy.expiry.planCompleteLite	Plan Complete Lite
