outfit_id,style_score,color_score,fit_score,style_consistency,formality_match,occasion_fit,contrast_score,clash_penalty,harmony_type,proportion_score,silhouette_balance,fit_quality,final_score,label
"O001",0.72,0.85,0.87,0.67,0.75,0.8,0.78,0,"mixed_harmonious",0.8,0.9,0.89,0.8,"good"
"O002",0.21,0.91,0.84,0.05,0.09,0.8,0.86,0,"neutral_dominant",0.8,0.9,0.79,0.34,"bad"
"O003",0.71,0.36,0.84,0.5,1,0.8,0.24,0.8,"mixed_harmonious",0.8,0.9,0.79,0.64,"average"
"O004",0.48,0.85,0.76,0.33,0.5,0.8,0.78,0,"mixed_harmonious",0.8,0.6,0.92,0.68,"average"
"O005",0.43,0.87,0.87,0.37,0.28,0.8,0.77,0,"analogous",0.8,0.9,0.89,0.69,"average"
"O006",0.65,0.89,0.84,0.68,0.5,0.8,0.82,0,"analogous",0.8,0.9,0.8,0.78,"good"
"O007",0.63,0.93,0.83,0.48,0.75,0.8,0.88,0,"monochromatic",0.8,0.9,0.78,0.78,"good"
"O008",0.44,0.78,0.84,0.18,0.75,0.8,0.76,0.25,"neutral_dominant",0.8,0.9,0.8,0.42,"average"
"O009",0.57,0.83,0.84,0.22,1,0.8,0.73,0,"mixed_harmonious",0.8,0.9,0.8,0.42,"average"
"O010",0.37,0.82,0.84,0.18,0.5,0.8,0.67,0,"analogous",0.8,0.9,0.8,0.42,"average"
"O011",0.66,0.83,0.84,0.7,0.5,0.8,0.73,0,"mixed_harmonious",0.8,0.9,0.79,0.77,"good"
"O012",0.68,0.93,0.84,0.43,1,0.8,0.88,0,"monochromatic",0.8,0.9,0.8,0.8,"good"
"O013",0.37,0.76,0.84,0.04,0.75,0.8,0.68,0.25,"monochromatic",0.8,0.9,0.8,0.4,"average"
"O014",0.65,0.93,0.84,0.68,0.5,0.8,0.88,0,"monochromatic",0.8,0.9,0.8,0.79,"good"
"O015",0.39,0.89,0.87,0.07,0.75,0.8,0.82,0,"analogous",0.8,0.9,0.89,0.4,"average"
"O016",0.56,0.92,0.83,0.21,1,0.8,0.87,0,"analogous",0.8,0.9,0.78,0.42,"average"
"O017",0.45,0.72,0.84,0.21,0.75,0.8,0.54,0,"triadic",0.8,0.9,0.8,0.42,"average"
"O018",0.36,0.93,0.84,0.16,0.5,0.8,0.88,0,"monochromatic",0.8,0.9,0.8,0.42,"average"
"O019",0.36,0.85,0.74,0.16,0.41,0.8,0.78,0,"mixed_harmonious",0.8,0.6,0.86,0.42,"average"
"O020",0.31,0.85,0.84,0.23,0.14,0.8,0.8,0,"complementary",0.8,0.9,0.81,0.35,"bad"
"O021",0.53,0.93,0.83,0.38,0.75,0.8,0.88,0,"monochromatic",0.8,0.9,0.78,0.74,"good"
"O022",0.7,0.93,0.84,0.48,1,0.8,0.88,0,"monochromatic",0.8,0.9,0.8,0.81,"good"
"O023",0.38,0.85,0.84,0.06,0.75,0.8,0.78,0,"mixed_harmonious",0.8,0.9,0.81,0.4,"average"
"O024",0.53,0.93,0.84,0.38,0.75,0.8,0.88,0,"monochromatic",0.8,0.9,0.8,0.74,"good"
"O025",0.51,0.33,0.73,0.11,1,0.8,0.32,1,"mixed_harmonious",0.8,0.6,0.84,0.34,"bad"
"O026",0.72,0.93,0.83,0.67,0.75,0.8,0.88,0,"monochromatic",0.8,0.9,0.78,0.82,"good"
"O027",0.37,0.56,0.84,0.19,0.38,0.8,0.49,0.6,"monochromatic",0.8,0.9,0.8,0.42,"average"
"O028",0.43,0.93,0.84,0.16,0.75,0.8,0.88,0,"monochromatic",0.8,0.9,0.8,0.42,"average"
"O029",0.21,0.93,0.85,0.05,0.09,0.8,0.88,0,"monochromatic",0.8,0.9,0.84,0.34,"bad"
"O030",0.6,0.38,0.69,0.43,0.75,0.8,0.08,0.45,"mixed_harmonious",0.7,0.6,0.78,0.56,"average"
"O031",0.56,0.52,0.84,0.2,1,0.8,0.39,0.6,"monochromatic",0.8,0.9,0.8,0.42,"average"
"O032",0.55,0.74,0.84,0.32,0.75,0.8,0.55,0,"mixed_harmonious",0.8,0.9,0.8,0.69,"average"
"O033",0.48,0.77,0.83,0.19,0.75,0.8,0.64,0,"complementary",0.8,0.9,0.78,0.42,"average"
"O034",0.49,0.89,0.84,0.21,0.75,0.8,0.82,0,"analogous",0.8,0.9,0.8,0.42,"average"
"O035",0.5,0.93,0.84,0.32,0.75,0.8,0.88,0,"monochromatic",0.8,0.9,0.8,0.73,"good"
"O036",0.54,0.92,0.84,0.45,0.5,0.8,0.87,0,"analogous",0.8,0.9,0.8,0.74,"good"
