outfit_id,season,occasion,brand_coherence,season_fit,style_score,color_score,fit_score,style_consistency,formality_match,occasion_fit,contrast_score,clash_penalty,harmony_type,proportion_score,silhouette_balance,fit_quality,final_score,label,source_label
"O00001","summer","casual",1,0.95,0.34,1,0.84,0.38,0.09,0.62,0.92,0,"monochromatic",0.8,0.9,0.8,0.4,"average","good"
"O00002","all-season","casual",0.88,0.85,0.54,0.93,0.84,0.48,0.5,0.88,0.88,0,"monochromatic",0.8,0.9,0.79,0.75,"good","average"
"O00003","summer","date",1,0.45,0.23,0.85,0.84,0.08,0.28,0.68,0.78,0,"mixed_harmonious",0.8,0.9,0.8,0.4,"average","average"
"O00004","winter","office",1,0.6,0.67,0.81,0.84,0.69,0.75,0.78,0.59,0,"mixed_harmonious",0.8,0.9,0.8,0.76,"good","average"
"O00005","all-season","travel",0.88,0.85,0.54,0.93,0.87,0.54,0.5,0.72,0.88,0,"monochromatic",0.8,0.9,0.89,0.76,"good","good"
"O00006","autumn","travel",1,0.6,0.69,0.92,0.84,0.74,0.75,0.72,0.82,0,"mixed_harmonious",0.8,0.9,0.8,0.8,"good","average"
"O00007","all-season","casual",0.88,0.85,0.47,0.85,0.84,0.18,0.75,0.88,0.78,0,"mixed_harmonious",0.8,0.9,0.8,0.42,"average","average"
"O00008","all-season","casual",0.88,0.85,0.32,0.93,0.84,0.07,0.5,0.88,0.88,0,"monochromatic",0.8,0.9,0.79,0.34,"bad","good"
"O00009","summer","date",0.88,0.95,0.27,0.81,0.87,0.09,0.18,0.9,0.59,0,"mixed_harmonious",0.8,0.9,0.89,0.4,"average","good"
"O00010","autumn","casual",0.88,0.6,0.56,1,0.84,0.44,0.75,0.88,0.92,0,"monochromatic",0.8,0.9,0.8,0.78,"good","good"
"O00011","summer","gym",0.88,0.95,0.11,0.98,0.84,0.08,0.09,0.25,0.9,0,"neutral_dominant",0.8,0.9,0.8,0.34,"bad","average"
"O00012","spring","office",1,0.95,0.23,0.98,0.84,0.07,0.09,0.93,0.9,0,"neutral_dominant",0.8,0.9,0.8,0.34,"bad","average"
"O00013","autumn","casual",1,0.6,0.58,0.98,0.84,0.44,0.75,0.88,0.9,0,"neutral_dominant",0.8,0.9,0.8,0.78,"good","average"
"O00014","spring","office",1,0.95,0.62,1,0.84,0.43,0.75,0.93,0.92,0,"monochromatic",0.8,0.9,0.8,0.8,"good","average"
"O00015","summer","casual",0.88,0.95,0.53,1,0.84,0.38,0.75,0.88,0.92,0,"monochromatic",0.8,0.9,0.8,0.76,"good","average"
"O00016","spring","date",1,0.95,0.61,1,0.84,0.42,0.75,0.9,0.92,0,"monochromatic",0.8,0.9,0.8,0.8,"good","good"
"O00017","winter","casual",1,0.95,0.51,0.92,0.84,0.32,0.75,0.88,0.82,0,"mixed_harmonious",0.8,0.9,0.8,0.73,"good","average"
"O00018","winter","office",0.88,0.6,0.59,1,0.84,0.48,0.75,0.93,0.92,0,"monochromatic",0.8,0.9,0.8,0.79,"good","bad"
"O00019","winter","casual",1,0.95,0.64,0.98,0.84,0.48,0.75,0.88,0.91,0,"analogous",0.8,0.9,0.8,0.8,"good","good"
"O00020","winter","gym",1,0.95,0.51,0.98,0.84,0.29,0.75,0.92,0.91,0,"analogous",0.8,0.9,0.8,0.75,"good","average"
"O00021","autumn","date",0.88,0.95,0.11,1,0.84,0.07,0.09,0.32,0.92,0,"monochromatic",0.8,0.9,0.8,0.34,"bad","average"
"O00022","all-season","travel",0.88,0.85,0.37,0.78,0.84,0.44,0.09,0.72,0.63,0,"mixed_harmonious",0.8,0.9,0.79,0.4,"average","average"
"O00023","all-season","casual",1,0.85,0.55,0.85,0.84,0.32,0.75,0.88,0.78,0,"mixed_harmonious",0.8,0.9,0.8,0.73,"good","good"
"O00024","autumn","casual",1,0.95,0.78,0.94,0.84,0.63,1,0.88,0.9,0,"monochromatic",0.8,0.9,0.8,0.85,"good","average"
"O00025","all-season","casual",0.88,0.85,0.59,0.93,0.84,0.43,0.75,0.88,0.88,0,"monochromatic",0.8,0.9,0.8,0.77,"good","average"
"O00026","all-season","office",0.88,0.85,0.29,0.93,0.84,0.44,0.09,0.28,0.88,0,"monochromatic",0.8,0.9,0.79,0.4,"average","average"
"O00027","all-season","office",0.88,0.85,0.61,0.91,0.87,0.46,0.75,0.93,0.86,0,"neutral_dominant",0.8,0.9,0.89,0.78,"good","average"
"O00028","all-season","date",1,0.85,0.56,0.85,0.84,0.44,0.75,0.9,0.8,0,"complementary",0.8,0.9,0.8,0.73,"good","good"
"O00029","summer","casual",0.62,0.8,0.5,1,0.84,0.42,0.75,0.88,0.92,0,"monochromatic",0.8,0.9,0.8,0.75,"good","good"
"O00030","autumn","casual",1,0.95,0.7,0.81,0.84,0.62,0.75,0.88,0.62,0,"complementary",0.8,0.9,0.8,0.78,"good","average"
"O00031","winter","weekend",1,0.6,0.69,0.92,0.84,0.69,0.75,0.88,0.84,0,"complementary",0.8,0.9,0.8,0.8,"good","bad"
"O00032","winter","weekend",0.62,0.95,0.56,1,0.84,0.42,0.75,0.88,0.92,0,"monochromatic",0.8,0.9,0.8,0.78,"good","good"
"O00033","summer","event",1,0.95,0.51,1,0.84,0.3,0.75,0.94,0.92,0,"monochromatic",0.8,0.9,0.8,0.76,"good","bad"
"O00034","autumn","casual",1,0.95,0.7,1,0.84,0.62,0.75,0.88,0.92,0,"monochromatic",0.8,0.9,0.8,0.83,"good","average"
"O00035","all-season","office",0.88,0.85,0.67,0.93,0.84,0.49,1,0.78,0.88,0,"monochromatic",0.8,0.9,0.8,0.8,"good","good"
"O00036","autumn","casual",1,0.95,0.61,1,0.84,0.42,0.75,0.88,0.92,0,"monochromatic",0.8,0.9,0.8,0.8,"good","bad"
"O00037","all-season","casual",1,0.85,0.39,0.74,0.84,0.08,0.75,0.88,0.58,0,"complementary",0.8,0.9,0.8,0.4,"average","average"
"O00038","summer","gym",0.88,0.95,0.24,0.85,0.84,0.14,0.28,0.55,0.67,0,"mixed_harmonious",0.8,0.9,0.8,0.42,"average","average"
"O00039","summer","gym",0.88,0.95,0.11,1,0.84,0.08,0.09,0.25,0.92,0,"monochromatic",0.8,0.9,0.8,0.34,"bad","average"
"O00040","all-season","casual",1,0.85,0.65,0.85,0.84,0.68,0.5,0.88,0.78,0,"mixed_harmonious",0.8,0.9,0.8,0.77,"good","good"
"O00041","summer","gym",1,0.95,0.34,1,0.84,0.07,0.5,0.92,0.92,0,"monochromatic",0.8,0.9,0.8,0.4,"average","good"
"O00042","spring","casual",1,0.95,0.7,1,0.84,0.62,0.75,0.88,0.92,0,"monochromatic",0.8,0.9,0.8,0.83,"good","bad"
"O00043","summer","casual",0.88,0.95,0.16,1,0.84,0.05,0.09,0.62,0.92,0,"monochromatic",0.8,0.9,0.8,0.4,"average","average"
"O00044","summer","date",1,0.95,0.11,1,0.84,0.05,0.09,0.32,0.92,0,"monochromatic",0.8,0.9,0.8,0.4,"average","average"
"O00045","autumn","gym",1,0.6,0.52,0.94,0.84,0.44,0.75,0.55,0.9,0,"monochromatic",0.8,0.9,0.8,0.74,"good","average"
"O00046","autumn","casual",1,0.95,0.19,1,0.84,0.09,0.09,0.62,0.92,0,"monochromatic",0.8,0.9,0.8,0.4,"average","good"
"O00047","summer","travel",1,0.45,0.47,0.85,0.84,0.33,0.75,0.88,0.67,0,"mixed_harmonious",0.8,0.9,0.8,0.7,"average","average"
"O00048","summer","gym",0.88,0.95,0.53,0.92,0.84,0.42,0.5,0.92,0.82,0,"mixed_harmonious",0.8,0.9,0.8,0.74,"good","good"
"O00049","summer","gym",0.88,0.95,0.11,1,0.84,0.08,0.09,0.25,0.92,0,"monochromatic",0.8,0.9,0.8,0.34,"bad","bad"
"O00050","autumn","date",1,0.95,0.61,0.92,0.84,0.42,0.75,0.9,0.82,0,"mixed_harmonious",0.8,0.9,0.8,0.77,"good","average"
"O00051","all-season","office",1,0.85,0.75,0.91,0.84,0.63,1,0.78,0.86,0,"neutral_dominant",0.8,0.9,0.8,0.83,"good","good"
"O00052","all-season","casual",0.88,0.85,0.29,0.93,0.84,0.3,0.09,0.62,0.88,0,"monochromatic",0.8,0.9,0.8,0.4,"average","bad"
"O00053","autumn","casual",1,0.6,0.58,1,0.84,0.44,0.75,0.88,0.92,0,"monochromatic",0.8,0.9,0.8,0.78,"good","average"
"O00054","summer","casual",0.88,0.8,0.53,0.82,0.84,0.42,0.75,0.88,0.82,0,"monochromatic",0.8,0.9,0.8,0.71,"good","bad"
"O00055","autumn","office",1,0.6,0.59,1,0.84,0.44,0.75,0.93,0.92,0,"monochromatic",0.8,0.9,0.8,0.79,"good","bad"
"O00056","winter","casual",1,0.95,0.19,0.98,0.84,0.08,0.09,0.62,0.91,0,"analogous",0.8,0.9,0.8,0.34,"bad","average"
"O00057","summer","gym",0.88,0.95,0.58,0.94,0.84,0.52,0.5,0.92,0.9,0,"monochromatic",0.8,0.9,0.8,0.77,"good","average"
"O00058","autumn","office",1,0.95,0.54,1,0.84,0.68,0.5,0.28,0.92,0,"monochromatic",0.8,0.9,0.8,0.77,"good","average"
"O00059","all-season","gym",0.88,0.85,0.48,0.85,0.87,0.46,0.75,0.25,0.78,0,"mixed_harmonious",0.8,0.9,0.89,0.71,"good","average"
"O00060","summer","gym",1,0.8,0.45,0.92,0.84,0.46,0.41,0.55,0.82,0,"mixed_harmonious",0.8,0.9,0.8,0.71,"good","average"
"O00061","summer","casual",0.88,0.95,0.46,1,0.84,0.44,0.41,0.88,0.92,0,"monochromatic",0.8,0.9,0.79,0.74,"good","average"
"O00062","all-season","casual",0.88,0.85,0.5,0.85,0.87,0.39,0.5,0.88,0.78,0,"mixed_harmonious",0.8,0.9,0.89,0.72,"good","good"
"O00063","summer","office",1,0.95,0.53,0.94,0.84,0.33,0.75,0.93,0.9,0,"monochromatic",0.8,0.9,0.8,0.75,"good","average"
"O00064","summer","gym",1,0.95,0.15,0.98,0.84,0.05,0.09,0.55,0.9,0,"neutral_dominant",0.8,0.9,0.8,0.4,"average","average"
