outfit_id,top,bottom,shoes,top_color,bottom_color,shoe_color,top_fit,bottom_fit,shoe_fit,style_category,STYLE_SCORE,COLOR_SCORE,FIT_SCORE,final_score,label
O00001,linen shirt,track pants,loafers,gray,black,navy,slim,regular,slim,casual,0.59,0.95,0.72,0.74,good
O00002,black hoodie,chinos,loafers,white,blue,navy,tailored,tailored,slim,casual,0.43,0.83,0.57,0.59,average
O00003,turtleneck,shorts,oxfords,green,gray,red,slim,tailored,slim,streetwear,0.54,0.7,0.62,0.61,average
O00004,turtleneck,jeans,sandals,blue,green,blue,baggy,tailored,oversized,business,0.7,0.79,0.67,0.72,average
O00005,navy blazer,jeans,sandals,green,black,gray,slim,oversized,baggy,streetwear,0.59,0.94,0.76,0.75,good
O00006,sweater,skirt,sandals,navy,beige,brown,tailored,slim,tailored,streetwear,0.48,0.85,0.51,0.6,average
O00007,white tee,cargo pants,oxfords,black,green,navy,tailored,slim,slim,casual,0.71,0.45,0.88,0.68,average
O00008,black hoodie,jeans,oxfords,red,beige,gray,slim,oversized,slim,streetwear,0.88,0.64,0.83,0.79,good
O00009,navy blazer,shorts,heels,navy,blue,green,tailored,tailored,slim,streetwear,0.92,0.64,0.63,0.75,good
O00010,flannel,chinos,sandals,black,red,red,tailored,oversized,regular,minimal,0.79,0.46,0.94,0.74,good
O00011,tank top,trousers,heels,gray,gray,gray,regular,tailored,oversized,sport,0.65,0.61,0.69,0.65,average
O00012,denim jacket,track pants,oxfords,gray,black,beige,baggy,regular,baggy,business,0.73,0.44,0.63,0.61,average
O00013,flannel,trousers,sandals,gray,beige,beige,baggy,oversized,regular,minimal,0.84,0.65,0.51,0.68,average
O00014,denim jacket,skirt,oxfords,beige,navy,white,baggy,oversized,tailored,business,0.66,0.43,0.69,0.6,average
O00015,white tee,shorts,sneakers,gray,white,green,tailored,tailored,slim,minimal,0.71,0.52,0.64,0.63,average
O00016,denim jacket,chinos,heels,white,beige,navy,tailored,slim,baggy,minimal,0.65,0.84,0.85,0.77,good
O00017,turtleneck,cargo pants,sneakers,red,green,beige,tailored,slim,regular,minimal,0.55,0.72,0.61,0.62,average
O00018,turtleneck,trousers,sandals,white,navy,blue,regular,oversized,regular,business,0.53,0.52,0.53,0.53,bad
O00019,turtleneck,chinos,loafers,black,brown,green,regular,tailored,oversized,minimal,0.84,0.88,0.95,0.89,good
