epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.0288,3.15389,4.06594,2.68423,0.00269,0.0641,0.00117,0.00021,3.58066,3.96692,2.89368,0.000384615,0.000384615,0.000384615
2,38.5206,2.8349,3.92842,2.42707,0.00324,0.07692,0.01012,0.00149,3.3998,3.90766,2.6816,0.00077484,0.00077484,0.00077484
3,56.2137,2.77819,3.73732,2.34091,0.00457,0.10256,0.02487,0.00676,3.41906,3.84377,2.42287,0.00113756,0.00113756,0.00113756
4,73.7201,2.71116,3.63879,2.22662,0.00492,0.16667,0.04762,0.01282,3.22817,3.71616,2.33421,0.00112625,0.00112625,0.00112625
5,91.5228,2.58573,3.44759,2.14791,0.74359,0.03846,0.0438,0.01006,2.93566,3.43772,2.19618,0.001085,0.001085,0.001085
6,110.126,2.60916,3.19605,2.16839,0.74359,0.03846,0.0438,0.01006,2.93566,3.43772,2.19618,0.00104375,0.00104375,0.00104375
7,126.706,2.57345,3.00232,2.05326,0.76452,0.14103,0.08329,0.02358,2.77118,3.17595,2.13861,0.0010025,0.0010025,0.0010025
8,145.65,2.61226,3.04005,2.13495,0.74853,0.07692,0.05969,0.0191,2.78679,3.21196,2.07095,0.00096125,0.00096125,0.00096125
9,162.566,2.57684,2.94635,2.07359,0.75163,0.10256,0.1185,0.03041,2.75131,3.22211,2.00916,0.00092,0.00092,0.00092
10,180.775,2.40491,2.89091,1.96355,0.76389,0.14103,0.15165,0.0275,2.81525,3.01014,2.01608,0.00087875,0.00087875,0.00087875
11,198.102,2.33593,2.65247,1.92249,0.76389,0.14103,0.15165,0.0275,2.81525,3.01014,2.01608,0.0008375,0.0008375,0.0008375
12,216.07,2.30197,2.60312,1.91766,0.88216,0.11538,0.22832,0.05316,2.7035,2.70049,1.99314,0.00079625,0.00079625,0.00079625
13,233.173,2.45019,2.66292,2.01899,0.80002,0.19231,0.21422,0.0737,2.47138,2.39305,1.92675,0.000755,0.000755,0.000755
14,250.504,2.25894,2.49488,1.86133,0.83492,0.14103,0.2148,0.0661,2.28441,2.44653,2.10759,0.00071375,0.00071375,0.00071375
15,267.993,2.3776,2.49656,1.93399,0.80754,0.17949,0.22117,0.06937,2.26395,2.35618,2.03627,0.0006725,0.0006725,0.0006725
16,285.781,2.25901,2.39994,1.89067,0.80754,0.17949,0.22117,0.06937,2.26395,2.35618,2.03627,0.00063125,0.00063125,0.00063125
17,304.025,2.29435,2.33938,1.91026,0.78967,0.19231,0.16478,0.05562,2.33516,2.45954,2.07862,0.00059,0.00059,0.00059
18,321.302,2.32135,2.34713,1.9705,0.78709,0.19583,0.18835,0.05768,2.43342,2.48049,2.18715,0.00054875,0.00054875,0.00054875
19,338.502,2.24386,2.26517,1.84725,0.77282,0.20513,0.20361,0.05072,2.49004,2.41217,2.17308,0.0005075,0.0005075,0.0005075
20,356.01,2.27261,2.34281,1.87147,0.82493,0.18554,0.17787,0.0532,2.42781,2.33389,2.01283,0.00046625,0.00046625,0.00046625
21,373.329,2.27778,2.48859,1.90937,0.54485,0.25499,0.21309,0.07906,2.30097,2.26076,1.87744,0.000425,0.000425,0.000425
22,390.178,2.22,2.62507,1.91405,0.54485,0.25499,0.21309,0.07906,2.30097,2.26076,1.87744,0.00038375,0.00038375,0.00038375
23,408.523,2.31176,2.56364,2.01519,0.6621,0.2037,0.28974,0.09031,2.23552,2.26559,1.82457,0.0003425,0.0003425,0.0003425
24,425.947,2.23121,2.13682,1.80652,0.60256,0.2792,0.29408,0.10951,2.24305,2.17705,1.87353,0.00030125,0.00030125,0.00030125
25,443.616,2.13291,2.18925,1.78749,0.61549,0.2792,0.31711,0.12301,2.1239,2.1397,1.80324,0.00026,0.00026,0.00026
26,461.067,2.15399,2.32999,1.83037,0.62614,0.27517,0.34337,0.13691,2.06885,2.09427,1.78461,0.00021875,0.00021875,0.00021875
27,478.713,2.05093,2.1756,1.81451,0.62614,0.27517,0.34337,0.13691,2.06885,2.09427,1.78461,0.0001775,0.0001775,0.0001775
28,496.032,2.17268,2.19343,1.82383,0.61654,0.2792,0.38361,0.14111,2.03382,2.03804,1.75251,0.00013625,0.00013625,0.00013625
29,513.173,2.10938,2.19776,1.80338,0.64582,0.25696,0.35431,0.14059,2.04785,2.03961,1.75592,9.5e-05,9.5e-05,9.5e-05
30,530.805,2.06421,2.17525,1.76429,0.64064,0.2792,0.35922,0.14313,2.02729,1.98446,1.71556,5.375e-05,5.375e-05,5.375e-05
